Path,Name,Size (bytes),Size (human),Modified,Accessed,Created,Age (days),Last Access (days),Extension,Risk Score,Category,Duplicate Group
/Users/hendrikaucamp/pictures/Photos Library.photoslibrary/private/com.apple.photoanalysisd/caches/graph/PhotosGraph/construction-photosgraph.kgdb.lock,construction-photosgraph.kgdb.lock,0,0B,2025-03-20 23:00:55.401626,2025-03-20 23:00:55.401626,2025-06-01 22:18:12.799904,149,149,.lock,57.08,Duplicate Files,Group_e3b0c442
/Users/hendrikaucamp/pictures/Photos Library.photoslibrary/resources/journals/Person.plist,Person.plist,526,526.0B,2025-03-21 08:54:05.352457,2025-06-01 22:18:10.140897,2025-06-01 22:18:09.939458,149,76,.plist,44.91,Duplicate Files,Group_ebee9479
/Users/hendrikaucamp/pictures/Photos Library.photoslibrary/resources/journals/ProjectAlbum.plist,ProjectAlbum.plist,361,361.0B,2025-03-20 20:46:38.903961,2025-06-01 22:18:10.115922,2025-06-01 22:18:09.922287,149,76,.plist,44.91,Duplicate Files,Group_8577ea68
/Users/hendrikaucamp/pictures/Photos Library.photoslibrary/resources/journals/DeferredRebuildFace.plist,DeferredRebuildFace.plist,361,361.0B,2025-03-20 20:46:38.911903,2025-06-01 22:18:10.153881,2025-06-01 22:18:09.951832,149,76,.plist,44.91,Duplicate Files,Group_8577ea68
/Users/hendrikaucamp/pictures/Photos Library.photoslibrary/resources/journals/Album.plist,Album.plist,361,361.0B,2025-03-20 20:46:38.901860,2025-06-01 22:18:10.166044,2025-06-01 22:18:09.971796,149,76,.plist,44.91,Duplicate Files,Group_8577ea68
/Users/hendrikaucamp/pictures/Photos Library.photoslibrary/database/search/Spotlight/meCardFirstTimeChecked,meCardFirstTimeChecked,0,0B,2025-06-01 19:25:19.319467,2025-06-01 19:25:19.319467,2025-06-01 22:18:05.395447,76,76,,38.91,Duplicate Files,Group_e3b0c442
/Users/hendrikaucamp/pictures/Photos Library.photoslibrary/database/metaSchema.db,metaSchema.db,49152,48.0KB,2025-03-20 20:46:25.900725,2025-08-16 19:29:15.572113,2025-06-01 22:18:06.229003,149,0,.db,32.269999999999996,Duplicate Files,Group_9fd3208f
/Users/hendrikaucamp/pictures/Photos Library.photoslibrary/database/search/Spotlight/NSFileProtectionCompleteUntilFirstUserAuthentication/index.spotlightV3/0.shadowIndexGroups,0.shadowIndexGroups,175,175.0B,2025-05-12 17:11:14.136046,2025-08-16 19:29:15.608528,2025-06-01 22:18:06.105175,96,0,.shadowindexgroups,27.89,Duplicate Files,Group_5514e346
/Users/hendrikaucamp/pictures/Photos Library.photoslibrary/database/search/Spotlight/NSFileProtectionCompleteUntilFirstUserAuthentication/index.spotlightV3/dbStr-3.map.buckets,dbStr-3.map.buckets,16384,16.0KB,2025-06-11 19:04:24.723884,2025-08-11 21:06:25.554000,2025-08-11 00:39:16.607082,66,5,.buckets,26.259999999999998,Duplicate Files,Group_4fe7b59a
/Users/hendrikaucamp/pictures/Photos Library.photoslibrary/database/search/Spotlight/NSFileProtectionCompleteUntilFirstUserAuthentication/index.spotlightV3/dbStr-6.map.buckets,dbStr-6.map.buckets,16384,16.0KB,2025-06-11 19:04:24.727139,2025-08-11 21:06:25.555914,2025-08-11 00:39:16.607095,66,5,.buckets,26.259999999999998,Duplicate Files,Group_4fe7b59a
/Users/hendrikaucamp/pictures/Photos Library.photoslibrary/database/search/Spotlight/NSFileProtectionCompleteUntilFirstUserAuthentication/index.spotlightV3/journalAttr.86_toc,journalAttr.86_toc,64,64.0B,2025-07-26 02:36:05.799367,2025-08-16 19:29:15.582241,2025-07-26 02:36:05.799367,22,0,.86_toc,21.81,Duplicate Files,Group_a9fa4026
/Users/hendrikaucamp/pictures/Photos Library.photoslibrary/private/com.apple.mediaanalysisd/MediaAnalysis/vector_database/index.sql-wal,index.sql-wal,0,0B,2025-07-26 02:33:40.118793,2025-08-16 19:29:16.224664,2025-07-26 02:33:40.118793,22,0,.sql-wal,21.81,Duplicate Files,Group_e3b0c442
/Users/hendrikaucamp/pictures/Photos Library.photoslibrary/private/com.apple.photoanalysisd/caches/graph/CLSBusinessCategoryCache.AOI.sqlite-wal,CLSBusinessCategoryCache.AOI.sqlite-wal,0,0B,2025-07-27 01:11:04.920484,2025-08-16 19:29:16.208659,2025-07-27 01:11:04.920484,21,0,.sqlite-wal,21.73,Duplicate Files,Group_e3b0c442
